a,একটি
windjammer,বাণিজ্যতরী
windjammers,বাণিজ্যতরী
windlass,চরকি
windlasses,চরকি
windle,ওজন বা পরিমাপের বৈপরীত্য
windless,বায়ুহীন
windmill,বাতচক্র
windmills,ছায়ার
window,জানালা
windowed,বাতায়নযুক্ত
windowing,উইন্ডো
windowless,বাতায়নহীন
windowpane,নেট হ্যাক করুন
windows,জানালা
windowsill,গোবরাট
windowsills,গোবরাট
windpipe,শ্বাসনালী
windrows,তামাক
winds,বাতাস
windscreen,চালককে বাতাস হইতে রক্ষা করিবার জন্য ব্যবহৃত মোটর গাড়ি ইত্যাদির কাচ
windscreens,কাচ
windshield,উইন্ডশীল্ড
windshields,উইন্ডশীল্ড
windsurfing,উইন্ডসার্ফিং
windward,প্রতিবাতে
windwards,প্রতিবাতে
windy,ঝড়ো
wine,ওয়াইন
wine cup,চষক
wine glass,সুরাপাত্র
wine seller,শুঁড়ি
wine shop,শুঁড়িখানা
winebibber,জাত মাতাল
winecup,মদের পাত্র
wined,মদ
wineglass,মদের পাত্র
wines,মদ্য
wineskin,মদ রাখার জন্যে আগেকার দিনে ব্যবহৃত জিনিস
wing,গরূৎ
wing-footed,দ্রুতগামী
winged,সপক্ষ
winger,লোক
winges,ডানা
winging,পক্ষযুক্ত করা
wingless,ডানাহীন
wings,উইংস
wining,জয়
wink,পিটপিট্
wink at,দেখেও না দেখা
winked,পিটপিট্ করা
winking,চোখের পিট্পিট্ - করণ
winkle,অপসারিত
winks,পিটপিট্ করা
winner,বিজয়ী
winners,বিজয়ীদের
winning,জয়লাভ
winnings,জেতা
winnipeg,উইনিপেগ
winnow,ঝাড়া
winnowed,ঝাড়া
winnowing,ঝাড়া
winnowings,ঝাড়া
winnows,ঝাড়া
winpopup,উইন-পপ-আপ
wins,জয়ী
winsome,আকর্ষণীয়
winter,শীতকালীন
wintered,শীত কাটান
winterer,শীতকাল
wintering,শীত কাটান
winterize,উইন্টারাইজ
winterly,ঝড়ো
winters,শীতকালে
wintertime,শীতকাল
wintertimes,শীতকালে
wintery,ঝড়ো
wintrier,ঝড়ো
wintriest,ঝড়ো
wintry,ঝড়ো
winy,মদ্যসুলভ
wipe,মুছা
wipe out,অপনোদন করা
wiped,অপনোদিত
wiped out,অপনোদিত
wipeout,সম্পূর্ণ বিনাশ
wipeouts,সম্পূর্ণ বিনাশ
wiper,সম্মার্জনী
wipers,সম্মার্জনী
wipes,টিস্যু
wiping,সম্মার্জনী
wire,টেলিগ্রাম
wire nail,পেরেক
wire-rope,ইস্পাতের তৈরি দড়ি
wire-work,তারের জাল
wired,তারযুক্ত
wireless,বেতার
wirelessed,ওয়্যারলেস
wirelesses,বেতার
wireman,ইলেকট্রিক মিস্ত্রি
wires,পুতুল
wiretapper,ট্যাপ
wirier,তারে তৈয়ারি
wiriest,তারে তৈয়ারি
wiring,তারের সংযোজন
wiry,মাংসপেশীবহুল
wis,বিশ্বাস করা
wisdom,জ্ঞান
wisdoms,বিজ্ঞতা
wise,বিজ্ঞ
wise guy,সবজান্তা লোক
wise up,অবহিত করা
wise woman,ডাইনী
wiseacre,পণ্ডিতমূর্খ
wiseacres,পণ্ডিতমূর্খ
wisecrack,মজার মজার মন্তব্য
wisecracked,কাস
wisecracker,কাস
wisecracking,কাস
wisecracks,কাস
wisely,বুদ্ধিমানের মতো
wiser,তিমিরে
wises,প্রজ্ঞ
wisest,বিজ্ঞতম
wish,ইচ্ছা
wish for,আকাঙ্ক্ষা করা
wish to die,মুমুর্ষু হত্তয়া
wishbone,পাখির V আকৃতির অস্থি
wished,কাম্য
wished for,অভীষ্ট
wisher,হিতাকাঙ্ক্ষী
wishes,শুভেচ্ছা
wishful,ব্যগ্র
wishfully,ধীরগতি
wishing,তবেই
wishing to die,মুমুর্ষু
wishlist,আকাঙ্ক্ষা তালিকা
wisht,এক্ষেত্রে একটি সতর্কবানী
wishy-washy,দরিদ্র
wisp,ছোট ঝাঁটা
wist,জানিত
wistful,চিন্তিত
wistfully,সতৃষ্ণভাবে
wit,বুদ্ধি
witch,জাদুকরী
witchcraft,জাদুবিদ্যা
witchcrafts,জাদুবিদ্যা
witched,উইচড
witcheries,ডাকিনীবিদ্যা
witchery,ডাকিনীবিদ্যা
witches,জাদুকরী
witching,সম্মোহক
with,সঙ্গে
with a bold hand,সাহসভরে
with a good grace,হাসিমুখে
with a grain of salt,খানিকটা বাদ দেয়া
with a high hand,গর্বিতভাবে
with a lavish hand,মুক্ত হস্তে
with a regard to,ব্যাপারে
with a thud,দুম্ করিয়া
with a vengeance,প্রচণ্ডভাবে
with a view to,উদ্দেশ্যে
with a will,আগ্রহ সহকারে
with an air of,ভঙ্গিতে
with an eye to,পাওয়ার আশায়
with calf,গর্ভবতী
with child,অন্তঃসত্ত্বা
with devotion,ভক্তিপূর্বক
with ease,সহজেই
with flying colours,বিজয়
with force,জোরের সহিত
with might and main,যথাশক্তি
with no weapon,নিরায়ুধ
with one accord,একমত হয়ে
with one foot in the grave,জীবনের শেষে
with one voice,সর্বসম্মতভাবে
with one's tongue in one's cheek,দুঃসাহস
with open hands,মুক্তহস্তে
with pleasure,সানন্দে
with reference to,সম্পর্কে
with respect to,সম্পর্কে
with tears,সাশ্রু
with that,তাহাতে
with the exception of,ব্যতিত
with the help of,সাহায্যে
with the sweat of one's brow,মাথার ঘাম পায়ে ফেলে
with this in view,ঐ বিষয়ে
with thuds,গুম্গুম্
with trust,ভক্তিপূর্বক
with young,গর্ভবতী
withal,আরত্ত
withdraw,প্রত্যাহার করা
withdrawable,প্রত্যাহার
withdrawal,প্রত্যাহার
withdrawals,তোলার
withdrawers,হানিফ
withdrawing,প্রত্যাহার
withdrawn,অপসারিত
withdraws,প্রত্যাহার
withdrew,প্রত্যাহার
withe,নমনীয় শাখা
withed,সাথে
wither,কটান
withered,শুষ্ক
withering,বিধ্বংসী
withers,অশ্বের স্কন্ধ বা গ্রীবাদির সন্ধিস্থান
withes,সাথে
withheld,প্রতিসংহৃত
withhold,প্রতিরোধ করা
withholder,কৃপনতা করেন
withholding,প্রতিসংহার
withholds,সাইফ
within,মধ্যে
within call,কাছেই
within easy reach of,অঙ্কস্থিত
within reach,নাগালের মধ্যে
withing,সাথে
withins,মধ্যে
without,ছাড়া
without adulteration,নির্ভেজাল
without avail,বৃথা
without birth,অজন্মা
without break,একাদিক্রমে
without cause,অকারণে
without cease,অবিরতভাবে
without ceremony,সঙ্গে সঙ্গে
without change,একভাবে
without delay,অবিলম্বে
without differentiation,অবিশেষে
without difficulty,অক্লেশে
without dispute,অবিরোধে
without doubt,নিঃসন্দেহে
without end,অশেষ
without expense,নিখরচা
without fail,অবশ্যই
without foundation,ভিত্তিহীন
without hesitation,অম্লানবদনে
without hindrance,নির্বাধ
without impurities,অচ্ছ
without issue,নিঃসন্তান
without moving,ঠায়
without number,অসংখ্য
without opposition,অবিরোধে
without parallel,অতুলনীয়
without pay,নিকড়িয়া
without provocation,অকারণ
without purpose,নিরর্থক
without reference to,প্রসঙ্গ
without reserve,অকৃপণ
without rest,অবিশ্রাম
without rhyme or reason,অর্থহীন
without strings,শর্তহীন
without support,অমনি
without trouble,অক্লেশে
without vegetation,নিরস্তপাদপ
withouts,ব্যতীত
withs,সাথে
withstand,প্রতিরোধ করা
withstanding,প্রতিরোধ করা
withstands,সবকিছুই সহ্য করতে পারে
withstood,বিরোধিতা
witless,বেরসিক
witness,সাক্ষী
witnessed,সাক্ষী
witnesser,সাক্ষী
witnesses,সাক্ষী
witnessing,প্রত্যক্ষীকরণ
wits,কৌশলে
witted,উপস্থিতবুদ্ধিসম্পন্ন
witticism,সরস উক্তি
wittier,বিদগ্ধ
wittiest,বিদগ্ধ
wittingly,জ্ঞাতসারে
witty,বিদগ্ধ
wive,আষাঢ়ে
wives,স্ত্রীদের
wiz,মায়াবী
wizard,জাদুকর
wizardries,জাদুবিদ্যা
wizardry,মায়াবিদ্যা
wizards,উইজার্ড
wizen,বিশুষ্ক
wizened,বিশীর্ণ
wizening,কুঁচন
wizens,কুঁচিত হত্তয়া
wizzes,জাদুকর
wo,দুঃখ
wobble,টলিতে টলিতে চলা
wobbled,কমি্পত হত্তয়া
wobbles,কমি্পত হত্তয়া
wobbling,কমি্পত হত্তয়া
woe,দু: খ
woe is me,হায়
woebegone,আর্ত
woeful,শোচনীয়
woes,দু:খ
woesome,শোচনীয়
wok,কাজের জায়গায়
woke,উঠান
woken,নিদ্রা হইতে জাগা
